code,write_class,binding_state,handler_file,audit_channel,verdict
tech.approve,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
tech.assign,domain_write,bound_page,Maintenance/workshop.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
tech.block,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
terms.set,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
ticket.ack,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
ticket.admin.close,domain_write,alias,Tickets/admin_close.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ticket.branch,domain_write,bound_page,Tickets/ticket_workstreams_board.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ticket.classify,domain_write,alias,Tickets/intake_classify.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ticket.confirm,domain_write,alias,Tickets/admin_close.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
ticket.done,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
ticket.transfer,domain_write,bound_page,Tickets/ticket_workstreams_board.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
tpl.generate,domain_write,bound_page,Tickets/ticket_recurrence.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
transport.request.submit,domain_write,bound_page,Transport/transfer_requests.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
treas.transfer,domain_write,bound_page,Finance/accounts_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
trip.arrive,domain_write,alias,Transport/transfer_in_transit.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
trip.cost,domain_write,alias,Transport/transfer_close_cost.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
trip.depart,domain_write,alias,Transport/transfer_in_transit.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
trip.order,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
unbilled.claim,domain_write,bound_page,Operations/unbilled.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
unit.assign,domain_write,bound_page,Operations/containers.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
unit.define,domain_write,bound_page,Operations/containers.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
unit.save,domain_write,bound_page,Timesheet/timesheet.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
unit.submit,domain_write,bound_page,Timesheet/timesheet.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
uom.define,domain_write,bound_page,Clients/units_of_measure.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
user.create,domain_write,bound_page,main/users.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
var.analyze,domain_write,bound_page,Finance/variance_monitor_fin.php,"publishFact (via fin_helpers.php)","covered — مركزي + قناة قبل/بعد"
vis.publish,domain_write,bound_page,Portal/visibility_keys.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
weval.close,domain_write,bound_page,Workforce/worker_evaluation.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
wh.define,domain_write,bound_page,Procurement/master_data_proc.php,"EventPublisher (via proc_helpers.php)","covered — مركزي + قناة قبل/بعد"
wh.move,domain_write,alias,Procurement/wh_transfer.php,,"covered_central — الوسيط المركزي (فاعل+وقت) · قناة قبل/بعد مرشحة للتوصيل"
wo.close,domain_write,bound_page,Maintenance/orders.php,"EventPublisher (via mnt_helpers.php)","covered — مركزي + قناة قبل/بعد"
workspace.request.submit,domain_write,declared_unbuilt,,,"declared — الزر لم يثبت بناؤه فلا معالج يفحص"
