المعرف,وثيقته,النمط,نصه
SCN-685,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «من يرى ماذا ومكوّنات البوابة» لـالحوكمة والالتزام بنطاق كل النظام § SCN-685 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-686,M-14,أخرى,"وأولُها رقم المفتاح · الشاشة · الملف · الإدارة المالكة · الدور المستفيد · الإدارة العارضة. § SCN-686 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-687,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «نشرُ تغيير ظهور» من شاشة «من يرى ماذا ومكوّنات البوابة» بواسطة مديرُ الصلاحيات، فيُكتب في visibility_keys · portal_elements ويُنشر الحدثُ VisibilityChanged ويستهلكه كلُّ الإدارات § SCN-687 § اختبارُ أثر: تنفيذُ الفعل يُحدث قوائمُ الإدارات تُعاد بناؤها للأدوار المتأثرة · والمحجوبُ يخ"
SCN-688,M-14,إلزام,"يجب أن يقبل فعلُ «نشرُ تغيير ظهور» عكسًا: رجوعٌ للنسخة السابقة بسجل. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-689,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «محاكاةُ ظهورٍ لدور» من شاشة «من يرى ماذا ومكوّنات البوابة» بواسطة مديرُ الصلاحيات، فيُكتب في — ويُنشر الحدثُ — ويستهلكه — § SCN-689 § اختبارُ أثر: تنفيذُ الفعل يُحدث يُعرض ما سيراه الدورُ قبل النشر — بلا أثرٍ على البيانات"
SCN-690,M-14,إلزام,"يجب أن تُعرض شاشةُ «من يرى ماذا ومكوّنات البوابة» لـالموارد البشرية بنطاق موظفوه § SCN-690 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-691,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «صفحات النظام والإدارات» لـالحوكمة والالتزام بنطاق كل النظام § SCN-691 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-692,M-14,إلزام,"يجب أن تحمل شاشةُ «صفحات النظام والإدارات» أعمدتَها المعتمدةَ وعددُها 23 عمودًا § SCN-692 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-693,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «تفعيلُ صفحةٍ أو إخفاؤها» من شاشة «صفحات النظام والإدارات» بواسطة مديرُ الصلاحيات، فيُكتب في modules · menu_cache ويُنشر الحدثُ ModuleToggled ويستهلكه كلُّ الإدارات § SCN-693 § اختبارُ أثر: تنفيذُ الفعل يُحدث الصفحةُ تظهر أو تختفي من كل القوائم · وتحويلُ المسار يبقى بع"
SCN-694,M-14,إلزام,"يجب أن يقبل فعلُ «تفعيلُ صفحةٍ أو إخفاؤها» عكسًا: إعادةُ التفعيل. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-695,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «تصنيف قواعد المنع» لـالحوكمة والالتزام بنطاق كل الحمايات § SCN-695 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-696,M-14,إلزام,"يجب أن تحمل شاشةُ «تصنيف قواعد المنع» أعمدتَها المعتمدةَ وعددُها 21 عمودًا § SCN-696 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-697,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «قلبُ حمايةٍ إلى الإنفاذ» من شاشة «تصنيف قواعد المنع» بواسطة الحوكمة، فيُكتب في guard_state ويُنشر الحدثُ GuardEnforced ويستهلكه الإدارةُ المعنية § SCN-697 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحمايةُ تنتقل من «يرى ولا يمنع» إلى «يمنع ويسمح بقرارٍ موثَ"
SCN-698,M-14,إلزام,"يجب أن يقبل فعلُ «قلبُ حمايةٍ إلى الإنفاذ» عكسًا — نطاقُ الحكم § SCN-698 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-699,M-14,ظهور,"وزاويتُها: السببُ والنطاقُ والمدةُ والموافقون وعددُ الاستعمال. § SCN-699 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-700,M-14,أخرى,"وأولُها رقم الطلب · تاريخ الطلب · الحماية المستثناة · الإدارة الطالبة · سبب الاستثناء · المستندات المؤيدة. § SCN-700 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-701,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «منحُ استثناء» من شاشة «طلبات الاستثناء» بواسطة سلّمُ الموافقات، فيُكتب في exceptions · guard_state ويُنشر الحدثُ ExceptionGranted ويستهلكه الإدارةُ الطالبة · الحوكمة § SCN-701 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحارسُ يسمح لهذا النطاق وهذه المدة وحدهما · وكلُّ استعمالٍ"
SCN-702,M-14,إلزام,"يجب أن يقبل فعلُ «منحُ استثناء» عكسًا: إلغاءٌ مبكرٌ بقرار. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-703,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-703 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-704,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-704 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-705,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-705 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-706,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-706 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-707,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-707 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-708,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-708 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-709,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-709 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-710,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-710 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-711,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-711 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-712,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-712 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-713,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-713 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-714,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-714 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-715,M-14,إلزام,"يجب أن تُعرض شاشةُ «طلبات الاستثناء» لـالتمويل والملكية بنطاق طلباته § SCN-715 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-716,M-14,أخرى,"بأفعالٍ مسموحةٍ هي إنشاء · متابعة، ومحجوبٍ عنه: الاعتماد. § SCN-716 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-717,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «أنماط تفعيل المزايا» لـالحوكمة والالتزام بنطاق كل الكيانات § SCN-717 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-718,M-14,أخرى,"وأولُها كود النمط · الكيان أو العقد · نمط التفعيل · العناصر المفعَّلة · العناصر المطفأة · سبب النمط. § SCN-718 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-719,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «ترقيةُ نمط التفعيل» من شاشة «أنماط تفعيل المزايا» بواسطة الحوكمة، فيُكتب في activation_flags ويُنشر الحدثُ ActivationUpgraded ويستهلكه الكيانُ المعني § SCN-719 § اختبارُ أثر: تنفيذُ الفعل يُحدث المزايا تُفعَّل بعلَمٍ لكل عنصرٍ على مستوى الكيان والعقد — و"
SCN-720,M-14,إلزام,"يجب أن يقبل فعلُ «ترقيةُ نمط التفعيل» عكسًا: رجوعٌ بإطفاء العلَم. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-721,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «سجل التدقيق والاطّلاع» لـالحوكمة والالتزام بنطاق كل النظام § SCN-721 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-722,M-14,أخرى,"وأولُها رقم السجل · التاريخ والوقت · المستخدم · الصفة · الإدارة · نوع العملية. § SCN-722 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-723,M-14,أخرى,"وأثرُه: كلُّ قراءةٍ لبياناتِ ملكيةٍ أو راتبٍ أو حسابٍ بنكيٍّ تُسجَّل بالمستخدم والوقت والسجل. § SCN-723 § اختبارُ أثر: تنفيذُ الفعل يُحدث كلُّ قراءةٍ لبياناتِ ملكيةٍ أو راتبٍ أو حسابٍ بنكيٍّ تُسجَّل"
SCN-724,M-14,إلزام,"يجب أن يقبل فعلُ «تسجيلُ اطّلاعٍ على حقلٍ حساس» عكسًا — نطاقُ الحكم § SCN-724 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-725,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «تصديرُ سجل تدقيق» من شاشة «سجل التدقيق والاطّلاع» بواسطة الحوكمة، فيُكتب في export_log ويُنشر الحدثُ AuditExported ويستهلكه الحوكمة § SCN-725 § اختبارُ أثر: تنفيذُ الفعل يُحدث التصديرُ نفسُه يُسجَّل — فسجلُّ التدقيق يدقّق من يقرؤه"
SCN-726,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «المحاولات الممنوعة» لـالحوكمة والالتزام بنطاق كل النظام § SCN-726 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-727,M-14,أخرى,"وأولُها رقم المحاولة · التاريخ والوقت · المستخدم · الصفة · الشاشة · الفعل المحاول. § SCN-727 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-729,M-14,إلزام,"يجب أن يقبل فعلُ «مراجعةُ محاولةٍ ممنوعة» عكسًا — نطاقُ الحكم § SCN-729 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-746,M-14,ظهور,"وزاويتُها: كلُّ عقودِ الشركة: عملاء وموردون وموظفون وتمويل. § SCN-746 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-747,M-14,أخرى,"وأولُها رقم العقد · نوع العقد · الطرف الآخر · نوع الطرف · تاريخ التوقيع · تاريخ البدء. § SCN-747 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-748,M-14,أخرى,"وأثرُه: كلُّ عقدٍ يُفحص: التفويضُ والكفالةُ والسريان § SCN-748 § اختبارُ أثر: تنفيذُ الفعل يُحدث كلُّ عقدٍ يُفحص: التفويضُ والكفالةُ والسريان — والناقصُ يُرف"
SCN-749,M-14,إلزام,"يجب أن يقبل فعلُ «مراجعة سجل العقود» عكسًا: إغلاقُ المراجعة بمعالجة. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-750,M-14,إلزام,"يجب أن تُعرض شاشةُ «سجل العقود الموحَّد» لـالمبيعات والعقود بنطاق عقوده § SCN-750 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-751,M-14,إلزام,"يجب أن تُعرض شاشةُ «سجل العقود الموحَّد» لـإدارة الموردين بنطاق عقوده § SCN-751 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-752,M-14,إلزام,"يجب أن تُعرض شاشةُ «سجل العقود الموحَّد» لـالمالية والخزينة بنطاق الكل § SCN-752 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-769,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «التكليفات التنظيمية» لـالحوكمة والالتزام بنطاق كل التكليفات § SCN-769 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-770,M-14,إلزام,"يجب أن تحمل شاشةُ «التكليفات التنظيمية» أعمدتَها المعتمدةَ وعددُها 21 عمودًا § SCN-770 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-771,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «إصدار تكليف تنظيمي» من شاشة «التكليفات التنظيمية» بواسطة الحوكمة، فيُكتب في org_assignments ويُنشر الحدثُ AssignmentIssued § SCN-771 § اختبارُ أثر: تنفيذُ الفعل يُحدث المكلَّفُ يعمل في نطاق التكليف ومدته · والصلاحيةُ تُشتق منه"
SCN-772,M-14,إلزام,"يجب أن يقبل فعلُ «إصدار تكليف تنظيمي» عكسًا: إنهاءٌ مبكرٌ بقرار. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-773,M-14,إلزام,"يجب أن تُعرض شاشةُ «التكليفات التنظيمية» لـالموارد البشرية بنطاق موظفوه § SCN-773 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-774,M-14,إلزام,"يجب أن تُعرض شاشةُ «التكليفات التنظيمية» لـإدارة التشغيل بنطاق إدارته § SCN-774 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-827,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «فصل الواجبات المتعارضة» لـالحوكمة والالتزام بنطاق كل النظام § SCN-827 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-828,M-14,أخرى,"وأولُها رقم المراجعة · تاريخ المراجعة · نوع الفحص · الحساب أو الدور · الواجبان المتعارضان · درجة الخطورة. § SCN-828 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-829,M-14,أخرى,"وأثرُه: الحسابُ الجامعُ بين واجبين متعارضين يُقيَّد · والاعتمادُ يُرفض بنيويًّا حتى الفصل. § SCN-829 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحسابُ الجامعُ بين واجبين متعارضين يُقيَّد · والاعتمادُ يُر"
SCN-830,M-14,أخرى,"استثناءٌ بموافقاتٍ عليا ومدةٍ قصيرة. § SCN-830 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-831,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «حسابات بوابة الأطراف الخارجية» لـالحوكمة والالتزام بنطاق كل الحسابات § SCN-831 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-832,M-14,أخرى,"وأولُها كود الحساب · نوع الطرف · الكيان · الشخص · الصفة لدى الكيان · نطاق الرؤية. § SCN-832 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-833,M-14,أخرى,"وأثرُه: الحسابُ يرى نطاقَه وحدَه بعزلٍ تام · ولا يرى بياناتِ طرفٍ آخر ولو كان في العقد نفسِه. § SCN-833 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحسابُ يرى نطاقَه وحدَه بعزلٍ تام · ولا يرى بياناتِ طرفٍ آخ"
SCN-834,M-14,إلزام,"يجب أن يقبل فعلُ «إنشاء حساب بوابة خارجية» عكسًا: تعطيلٌ فوريٌّ بسبب. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-835,M-14,إلزام,"يجب أن تُعرض شاشةُ «حسابات بوابة الأطراف الخارجية» لـالمبيعات والعقود بنطاق عملائه § SCN-835 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-836,M-14,إلزام,"يجب أن تُعرض شاشةُ «حسابات بوابة الأطراف الخارجية» لـإدارة الموردين بنطاق مورديه § SCN-836 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-837,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «المعاونون والنيابة المؤقتة» لـالحوكمة والالتزام بنطاق كل التفويضات § SCN-837 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-838,M-14,أخرى,"وأولُها رقم التكليف · الأصيل · صفته · المعاون · صفته · نوع النيابة. § SCN-838 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-839,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «تكليف معاون بالنيابة» من شاشة «المعاونون § SCN-839 § اختبارُ أثر: تنفيذُ الفعل يُحدث المعاونُ يعتمد في نطاق الأصيل ومدته — ولا يتجاوز سقفَه · وين"
SCN-840,M-14,إلزام,"يجب أن يقبل فعلُ «تكليف معاون بالنيابة» عكسًا: إنهاءٌ مبكرٌ بقرار. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-841,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـإدارة التشغيل بنطاق إدارته § SCN-841 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-842,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـإدارة الصيانة بنطاق إدارته § SCN-842 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-843,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـالمالية والخزينة بنطاق إدارته § SCN-843 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-844,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـالمبيعات والعقود بنطاق إدارته § SCN-844 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-845,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـإدارة الموردين بنطاق إدارته § SCN-845 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-846,M-14,إلزام,"يجب أن تُعرض شاشةُ «المعاونون والنيابة المؤقتة» لـالموارد البشرية بنطاق إدارته § SCN-846 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-868,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «سياسات الحقول الحساسة» لـالحوكمة والالتزام بنطاق كل الحقول § SCN-868 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-869,M-14,أخرى,"وأولُها الكيان · رقم السياسة · الجدول · الحقل · تصنيف الحساسية · سبب التصنيف. § SCN-869 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-870,M-14,أخرى,"وأثرُه: الحقلُ يُخفى لمن لا يملكه · وكلُّ اطّلاعٍ يُسجَّل · والأكثرُ تقييدًا يغلب عند تعارض القوالب. § SCN-870 § اختبارُ أثر: تنفيذُ الفعل يُحدث الحقلُ يُخفى لمن لا يملكه · وكلُّ اطّلاعٍ يُسجَّل · والأكثرُ"
SCN-871,M-14,إلزام,"يجب أن يقبل فعلُ «تصنيفُ حقلٍ حساس» عكسًا: رفعُ التصنيف بقرار. § — ذريّ § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-872,M-14,إلزام,"يجب أن تُعرض شاشةُ «سياسات الحقول الحساسة» لـالموارد البشرية بنطاق حقول الموظفين § SCN-872 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-873,M-14,إلزام,"يجب أن تُعرض شاشةُ «سياسات الحقول الحساسة» لـالتمويل والملكية بنطاق حقول الملكية § SCN-873 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-874,M-14,ظهور,"وزاويتُها: صلاحيةٌ استثنائيةٌ لحظيةٌ بموافقاتٍ عليا ومدةٍ قصيرة وتسجيلٍ كامل. § SCN-874 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-875,M-14,إلزام,"يجب أن تحمل شاشةُ «صلاحية الطوارئ اللحظية (كسر الزجاج)» أعمدتَها المعتمدةَ وعددُها 18 عمودًا، وأولُها الكيان · رقم الطلب · التاريخ والوقت · الطالب § SCN-875 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-876,M-14,أخرى,"وأثرُه: الصلاحيةُ تُمنح دقائقَ معدودةً بموافقتين عليا · وكلُّ فعلٍ تحتها يُسجَّل ويُراجَع خلال 24 ساعة. § SCN-876 § اختبارُ أثر: تنفيذُ الفعل يُحدث الصلاحيةُ تُمنح دقائقَ معدودةً بموافقتين عليا · وكلُّ فعلٍ ت"
SCN-877,M-14,إلزام,"يجب أن يقبل فعلُ «منحُ صلاحية طوارئ» عكسًا — نطاقُ الحكم § SCN-877 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-878,M-14,إلزام,"يجب أن تُعرض شاشةُ «صلاحية الطوارئ اللحظية (كسر الزجاج)» لـإدارة التشغيل بنطاق طلباته § SCN-878 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-879,M-14,إلزام,"يجب أن تُعرض شاشةُ «صلاحية الطوارئ اللحظية (كسر الزجاج)» لـإدارة الصيانة بنطاق طلباته § SCN-879 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-880,M-14,إلزام,"يجب أن تُعرض شاشةُ «صلاحية الطوارئ اللحظية (كسر الزجاج)» لـالمالية والخزينة بنطاق طلباته § SCN-880 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-881,M-14,إلزام,"يجب أن تُعرض شاشةُ «صلاحية الطوارئ اللحظية (كسر الزجاج)» لـإدارة الموقع بنطاق طلباته § SCN-881 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-882,M-14,"إتاحة شاشة","يجب أن تُتاح شاشةُ «دورة المراجعة الدورية للصلاحيات» لـالحوكمة والالتزام بنطاق كل الحسابات § SCN-882 § اختبارُ ظهور: تظهر الشاشةُ للدور المالك بنطاقها ولا تظهر لمن لا صلاحيةَ له"
SCN-883,M-14,أخرى,"وأولُها الكيان · رقم الدورة · الفترة · تاريخ الإطلاق · الإدارة · عدد الحسابات المراجَعة. § SCN-883 § اختبارُ اكتمال: كلُّ عمودٍ معتمدٍ موجودٌ وصفرُ عمودٍ غيرِ معرَّف"
SCN-884,M-14,إلزام,"يجب أن يُنفَّذ فعلُ «إقفالُ دورة مراجعة» من شاشة «دورة المراجعة الدورية للصلاحيات» بواسطة الحوكمة، فيُكتب في access_reviews ويُنشر الحدثُ AccessReviewClosed ويستهلكه كلُّ الإدارات § SCN-884 § اختبارُ أثر: تنفيذُ الفعل يُحدث ما لم يُؤكَّد يُسحب آليًّا · والحساباتُ الخاملةُ تُعطَّل · و"
SCN-885,M-14,إلزام,"يجب أن يقبل فعلُ «إقفالُ دورة مراجعة» عكسًا — نطاقُ الحكم § SCN-885 § اختبارُ عكس: العكسُ يُنشئ حركةً مقابلةً بمرجع الأصل"
SCN-886,M-14,إلزام,"يجب أن تُعرض شاشةُ «دورة المراجعة الدورية للصلاحيات» لـإدارة التشغيل بنطاق حسابات إدارته § SCN-886 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-887,M-14,إلزام,"يجب أن تُعرض شاشةُ «دورة المراجعة الدورية للصلاحيات» لـإدارة الصيانة بنطاق حسابات إدارته § SCN-887 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-888,M-14,إلزام,"يجب أن تُعرض شاشةُ «دورة المراجعة الدورية للصلاحيات» لـالمالية والخزينة بنطاق حسابات إدارته § SCN-888 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-889,M-14,إلزام,"يجب أن تُعرض شاشةُ «دورة المراجعة الدورية للصلاحيات» لـالمبيعات والعقود بنطاق حسابات إدارته § SCN-889 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
SCN-890,M-14,إلزام,"يجب أن تُعرض شاشةُ «دورة المراجعة الدورية للصلاحيات» لـإدارة الموردين بنطاق حسابات إدارته § SCN-890 § اختبارُ حجب: المحجوبُ لا يُصيَّر ولا يُقبل نداؤه في الخادم"
