n,route,current_name,canonical_ar,canonical_en,old_names,definition,owner_dept,level,canonical_group,sort,nature,dept_count,depts,decision,status,derivation,view_of,merge_into,retirement_status,route_variant,current_label,current_parent,current_order,section
65,Governance/auth_profiles.php,"قوالب الصلاحيات","قوالب الصلاحيات","Auth Profiles","نراقب الأحداثَ والمهام","تعرض قوالب الصلاحيات المعيارية (171 قالبًا) بحالتها وبنودها المزروعة من الحيّ. الغرض منح الصلاحيات بقوالبَ معتمدةٍ لا صفًّا صفًّا. عرضٌ رقابيٌّ لا تعديلَ فيه: القالب النافذ لا يُعد","الحوكمة والالتزام","6 — الإعدادات",الإعدادات,900,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"قوالب الصلاحيات","نراقب الأحداثَ والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
66,Governance/auth_grants.php,"منح الصلاحية","منح الصلاحية","Auth Grants","نراقب الأحداثَ والمهام","تعرض المنح الفعلية بمصادرها الأربعة من منظر الصلاحية النافذة. الغرض معرفة من يملك ماذا فعليًّا ومن أين جاءت صلاحيتُه. الفعل الوحيد المتاح سحبُ منحٍ، وبيد الحوكمة حصرًا؛ والمنحُ الم","الحوكمة والالتزام","6 — الإعدادات","الحوكمة والضوابط",1150,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"منح الصلاحية","نراقب الأحداثَ والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
67,Governance/ownership_grants.php,"منح المجال المقيَّد","منح المجال المقيَّد","Ownership Grants",—,"تعرض منح المجال المقيَّد النافذة: المستخدم وكود المنحة ومدّتها وسببها ومانحها وحالتها. الغرض فتح باب التمويل لأشخاصٍ بعينهم — فالصلاحية هنا فرديةٌ بأكوادها لا بالعضوية في إدارة؛ وم","الحوكمة والالتزام","6 — الإعدادات",الحوكمة,900,"شاشةٌ مستقلة",1,"ادارة التشغيل","يبقى كما هو",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"منح المجال المقيَّد",الحوكمة,"من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
68,admin/sec_employee_wizard.php,"معالج إعداد الموظف","معالج إعداد الموظف","Sec Employee Wizard",—,"معالجٌ من إحدى عشرة خطوةً لإعداد موظفٍ جديد: الهوية والعلاقة، فالعائلة والمستوى والمسمى والجهة، فالمدير والتبعيتان والنطاق والتكليف، ثم معاينةُ الصلاحيات الناتجة بمصادرها، فالإرسال","الحوكمة والالتزام","6 — الإعدادات","السجلات الرئيسية",900,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يبقى كما هو",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"معالج إعداد الموظف","السجلات الرئيسية","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
69,Settings/modules.php,"صفحات النظام والإدارات","صفحات النظام والإدارات",Modules,—,"تعرض سجلّ الصفحات (الوحدات) باسمها وأيقونتها وكودها (مسار الملف) والدور المسؤول عنها وما إذا كانت تظهر رابطًا في القائمة الجانبية. الغرض تعريف الشاشات في النظام حتى يمكن منح الصلاح","الحوكمة والالتزام","6 — الإعدادات","الظهور وضبط البوابة",910,"شاشةٌ مستقلة",1,"إدارة الصلاحيات","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"صفحات النظام والإدارات","الظهور والبوابة والصفحات","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","الحوكمة والالتزام"
70,Risk/risk_reports.php,"تقارير المخاطر والتحليلات","تقارير المخاطر والتحليلات","Risk Reports",—,"تقارير المخاطر والتحليلات بالتصنيف الرباعي لا الثنائي. الغرض إخراج تقارير المخاطر للجنة والإدارة؛ والتصدير لا يغيّر التصنيف.","إدارة المخاطر المؤسسية","1 — لوحة الإدارة","لوحة المخاطر المؤسسية",1,تقرير,2,"إدارة المخاطر · الإدارة التنفيذية","يبقى تقريرًا في المستوى ٤ + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"تقارير المخاطر والتحليلات","التقارير والتصدير · الحوكمة والإطار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
71,Risk/risk_assessment.php,"تقييم الخطر ونسخه التاريخية","تقييم الخطر ونسخُه التاريخية","Risk Assessment","تقييم الخطر ونسخه التاريخية","تقييم الخطر ونسخُه التاريخية بأربعةٍ وعشرين عمودًا ومناظرَ إلزامية. الغرض ألّا يُمحى تقييمٌ سابقٌ عند إعادة التقييم — فالتاريخ كاملٌ محفوظ.","إدارة المخاطر المؤسسية","2 — العمليات","التقييم والقياس",200,"تبويبٌ في ملفِّ الكيانِ الأم",1,"إدارة المخاطر","يُحوَّل تبويبًا في الملفِّ الأم + يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"تقييم الخطر ونسخه التاريخية","الضوابط والمؤشرات","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
72,Risk/risk_controls.php,"الضوابط والضوابط الحرجة","الضوابط والضوابط الحرجة","Risk Controls",—,"الضوابط والضوابط الحرجة بحقولها الخمسة. الغرض ربط كل خطرٍ بضوابطه؛ والضابط لا يُحتسب إلا بدليلٍ يثبت تنفيذه.","إدارة المخاطر المؤسسية","2 — العمليات","التقييم والقياس",210,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","مرحلةٌ متتاليةٌ مع Risk/risk_control_verify.php — لا ازدواج",—,ACTIVE,—,"الضوابط والضوابط الحرجة","الضوابط والمؤشرات","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
73,Risk/risk_control_verify.php,"التحقق من الضوابط الحرجة","التحقق من الضوابط الحرجة","Risk Control Verify",—,"التحقق من الضوابط الحرجة على منهج ICMM: ضوابطُ قليلةٌ محدَّدةٌ تمنع الأحداث الكبرى، ولكلٍّ منها تحقُّقٌ دوريٌّ موثَّق. الغرض التأكد أن الضابط الحرج يعمل فعلًا لا أنه مكتوبٌ فقط.","إدارة المخاطر المؤسسية","2 — العمليات","التقييم والقياس",211,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","مرحلةٌ متتاليةٌ مع Risk/risk_controls.php — لا ازدواج",—,ACTIVE,—,"التحقق من الضوابط الحرجة","المعالجة والقبول","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
74,Risk/dept_risk_space.php,"مساحة مخاطر الإدارة / مخاطر إدارة الموردين / مخاطر النقل والترحيل","مساحة مخاطر الإدارة","Dept Risk Space","مساحة مخاطر الإدارة / مخاطر إدارة الموردين / مخاطر النقل والترحيل","مساحةُ مخاطر الإدارة بسبعة تبويبات — مكوّنٌ نطاقيٌّ واحدٌ يخدم الإدارات كلَّها، فترى كلُّ إدارةٍ مخاطرها هي. الغرض إشراك الإدارات في إدارة مخاطرها بدل حصرها في وحدةٍ مركزية.","إدارة المخاطر المؤسسية","2 — العمليات","الشهية والمنهج",900,"شاشةٌ مستقلة",14,"أمين المستودع · إدارة التمويل · إدارة المالية · إدارة المخاطر · إدارة المشتريات · إدارة الموقع · إدارة النقل والترحيل · ادارة الاسطول · ادارة التشغيل · ادارة الصيانة · ادارة المبيعات · ادارة الموارد البشرية · ادارة الموردين · القوى التشغيلية","يُنقل إلى موضعِه المعياريّ",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"مساحة مخاطر الإدارة / مخاطر إدارة الموردين / مخاطر النقل والترحيل","الشهية والمنهج · المخاطر","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
75,Risk/risk_signals.php,"إشارات الخطر والفرز","إشارات المخاطر والفرز","Risk Signals","إشارات الخطر والفرز","صندوقُ الإشارات والفرز: كل إشارةٍ واردةٍ تُفرَز إلى أحد أربعة — تُهمَل بوسم، أو تُربَط بخطرٍ قائم، أو تُنشئ خطرًا جديدًا، أو تُصعَّد. الغرض تطبيقُ قاعدة «ليس كل حدثٍ خطرًا» قبل تضخ","إدارة المخاطر المؤسسية","2 — العمليات","المراقبة والمؤشرات",500,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"إشارات الخطر والفرز","الإشارة والفرز","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
76,Risk/risk_incidents.php,"الحوادث والوقائع","الحوادث والوقائع","Risk Incidents",—,"الحوادث والوقائع بثلاثة أنواعٍ لا تُخلط: واقعةٌ حدثت وأنتجت أثرًا، وحادثٌ كاد، ومشاهدةٌ خطرة. الغرض التعلّم من الحوادث وربطها بمخاطرها وضوابطها.","إدارة المخاطر المؤسسية","2 — العمليات","المراقبة والمؤشرات",501,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الحوادث والوقائع","الإشارة والفرز","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
77,Risk/risk_treatments.php,"إجراءات معالجة المخاطر","إجراءات معالجة المخاطر","Risk Treatments",—,"إجراءات معالجة المخاطر، لكل إجراءٍ مسؤولٌ ومهلة. الغرض ألّا يبقى خطرٌ بلا خطة معالجةٍ لها مالك؛ والمتأخر يظهر ويُصعَّد.","إدارة المخاطر المؤسسية","2 — العمليات","سجل المخاطر",150,"شاشةٌ مستقلة",1,"إدارة المخاطر","يبقى كما هو",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"إجراءات معالجة المخاطر","المعالجة والقبول","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
78,Risk/risk_register.php,"سجل المخاطر المركزي","سجل المخاطر المؤسسي","Risk Register","سجل المخاطر المركزي","السجلّ المركزي الواحد للمخاطر: محفظةُ المخاطر كاملةً لمدير المخاطر ومحلّله والرئيس، ولكل إدارةٍ نافذتُها على ما يخصّها. الغرض أن يكون مصدرَ الحقيقة الوحيد لكل خطرٍ مسجَّل في المؤسس","إدارة المخاطر المؤسسية","2 — العمليات","سجل المخاطر",100,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"سجل المخاطر المركزي","السجل والتقييم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
79,Risk/risk_units.php,"وحدات المخاطر والتصنيف","وحدات المخاطر والتصنيف","Risk Units",—,"وحدات المخاطر الإحدى عشرة بمعاييرها المرجعية ونوافذ منعها. الغرض تصنيف المخاطر بوحداتٍ معياريةٍ موحّدة بدل الوصف الحر.","إدارة المخاطر المؤسسية","2 — العمليات","سجل المخاطر",102,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","زاويةُ نظرٍ لنفسِ البيانات مع: Risk/risk_settings.php",—,ACTIVE,—,"وحدات المخاطر والتصنيف","السجل والتقييم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
80,Risk/risk_acceptance.php,"القبول والاستثناءات","القبول والاستثناءات","Risk Acceptance",—,"القبول والاستثناءات: قبولُ الخطر قرارٌ موقَّعٌ بمهلة مراجعةٍ لا إهمالٌ صامت. الغرض توثيق من قَبِل الخطر ولماذا ومتى يُراجَع القبول.","إدارة المخاطر المؤسسية","2 — العمليات","قبول الخطر والتصعيد",400,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"القبول والاستثناءات","القبول والتصعيد","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
81,Risk/risk_reviews.php,"مراجعات المخاطر وقراراتها","المراجعات والتصعيدات","Risk Reviews","مراجعات المخاطر وقراراتها","المراجعات وقرارات القبول في المرحلتين الحادية عشرة والثالثة عشرة من دورة الخطر. الغرض مراجعة القبولات دوريًّا فلا يتحوّل القبول المؤقت إلى دائمٍ بالنسيان.","إدارة المخاطر المؤسسية","2 — العمليات","قبول الخطر والتصعيد",401,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"مراجعات المخاطر وقراراتها","المعالجة والقبول","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
82,Risk/risk_card.php,"ملف الخطر","ملف الخطر","Risk Card",—,"ملفُّ الخطر الواحد بدورة حياته الأربع عشرة: تقييماتُه بتاريخها الكامل، وضوابطُه بخريطتها وأدلّتها، ومعالجاتُه ومراجعاتُه. الغرض قراءة قصة الخطر كاملةً في مكانٍ واحد.","إدارة المخاطر المؤسسية","3 — المعاملات والسجلات","قبول الخطر والتصعيد",450,"شاشةٌ مستقلة",1,"إدارة المخاطر","يبقى كما هو",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"ملف الخطر","السجل والتقييم","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
83,Risk/gov_dept_rsk.php,"حوكمة إدارة المخاطر","حوكمة إدارة المخاطر المؤسسية","Gov Dept Rsk","حوكمة إدارة المخاطر","حوكمة إدارة المخاطر المؤسسية — قراءةٌ لا كتابة، وفعلُها الكاتب الوحيد تصديقُ الحوكمة. الغرض إشراف الحوكمة على منظومة المخاطر ككل.","إدارة المخاطر المؤسسية","4 — التقارير والتحليلات","التقارير والتحليلات",800,منظر,1,"إدارة المخاطر","يُحوَّل منظرَ عملٍ محفوظًا + يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"حوكمة إدارة المخاطر","الحوكمة والإطار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
84,Risk/risk_kris.php,"مؤشرات الخطر الرئيسة","مؤشرات الخطر الرئيسة","Risk Kris",—,"مؤشرات الخطر الرئيسة (KRI) الستة والثلاثون بحدَّيها. الغرض إنذارٌ سابقٌ للحدث لا لاحقٌ له — وبلوغُ الحد الحرج يولّد إشارةً آليًّا.","إدارة المخاطر المؤسسية","4 — التقارير والتحليلات","قبول الخطر والتصعيد",450,تقرير,1,"إدارة المخاطر","يبقى تقريرًا في المستوى ٤",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"مؤشرات الخطر الرئيسة","الضوابط والمؤشرات","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
85,Risk/risk_board.php,"لوحة المخاطر العليا","لوحة المخاطر العليا","Risk Board",—,"لوحة المخاطر العليا للرئيس: لوحةٌ لا قائمةُ آلاف المخاطر — والحرجُ لا يختفي منها. الغرض إعطاء القيادة صورة المخاطر الحرجة دون إغراقٍ بالتفاصيل.","إدارة المخاطر المؤسسية","4 — التقارير والتحليلات","سجل المخاطر",150,تقرير,1,"إدارة المخاطر","يبقى تقريرًا في المستوى ٤",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"لوحة المخاطر العليا","لوحة الإدارة","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
86,Risk/risk_field.php,"مخاطرُ الميدان / مخاطر الميدان","مخاطر الميدان","Risk Field","مخاطرُ الميدان / مخاطر الميدان","تتيح للمُبلِّغ الميداني ثلاثةَ أفعالٍ لا أكثر: رفعُ إشارةِ خطر، وتسجيلُ دليل تنفيذِ ضابطٍ يملكه، وتقديمُ دليل إنجازِ إجراءٍ مسنَدٍ إليه. الغرض التقاطُ ما يُرى في الميدان فورًا — فه","إدارة المخاطر المؤسسية","5 — البيانات المرجعية","البيانات المرجعية والإعدادات",700,"شاشةٌ مستقلة",3,"إدارة المخاطر · إدارة الموقع · ادارة التشغيل","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"مخاطرُ الميدان / مخاطر الميدان","الإشارة والفرز · المخاطر","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
87,Risk/risk_committee.php,"لجنة المخاطر","لجنة المخاطر","Risk Committee",—,"لجنة المخاطر ومحاضرها: مخرَجُها محضرُ لجنةٍ وشهيةٌ معتمدة. الغرض توثيق قرارات اللجنة بوصفها الجهة الحاكمة لسياسة المخاطر.","إدارة المخاطر المؤسسية","5 — البيانات المرجعية","الحوكمة والضوابط",600,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"لجنة المخاطر","الحوكمة والإطار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
88,Risk/risk_appetite.php,"شهية المخاطر وحدودها","الشهية وحدود التحمل","Risk Appetite","شهية المخاطر وحدودها","الشهية وحدود التحمّل للمخاطر — يحدّدها الرئيس التنفيذي. الغرض تثبيت الحدّ الذي تقبله المؤسسة من المخاطرة؛ والأرضيات الثلاث لا تتغيّر بحال.","إدارة المخاطر المؤسسية","5 — البيانات المرجعية","الحوكمة والضوابط",601,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"شهية المخاطر وحدودها","الشهية والمنهج","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
89,Risk/risk_settings.php,"إعدادات المخاطر والتصنيف","إعدادات المخاطر والتصنيف","Risk Settings",—,"إعدادات المخاطر والتصنيف: الإطار الحاكم معروضًا مصدرًا واحدًا — مصفوفة السلّم والتصنيفات والحدود. الغرض ضبط قواعد التقييم من الشاشة لا من الكود.","إدارة المخاطر المؤسسية","5 — البيانات المرجعية","الحوكمة والضوابط",602,"شاشةٌ مستقلة",1,"إدارة المخاطر","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة","زاويةُ نظرٍ لنفسِ البيانات مع: Risk/risk_units.php",—,ACTIVE,—,"إعدادات المخاطر والتصنيف","الحوكمة والإطار","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","إدارة المخاطر المؤسسية"
90,Audit/iaf_reports.php,"تقارير المراجعة للجهة المشرفة","تقارير الجهة المشرفة","Iaf Reports","تقارير المراجعة للجهة المشرفة","تُصدر تقارير المراجعة للجهة المشرفة. الغرض رفع نتائج المراجعة إلى مستوى الإشراف بصيغةٍ معتمدة. يستخدمها المراجع الداخلي.","المراجع الداخلي المستقل","1 — لوحة الإدارة","لوحة المراجعة الداخلية",1,"شاشةٌ مستقلة",2,"الإدارة التنفيذية · المراجع الداخلي المستقل","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"تقارير المراجعة للجهة المشرفة","التقارير والتصدير · الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
91,Audit/iaf_findings.php,"ملاحظات المراجعة",الملاحظات,"Iaf Findings","ملاحظات المراجعة","تعرض ملاحظات المراجعة بدرجة خطورتها وأدلّتها والإدارة المعنيّة بها. الغرض أن تكون كل ملاحظةٍ موثَّقةً بدليلها ولها مالكٌ يردّ عليها. يستخدمها المراجع الداخلي.","المراجع الداخلي المستقل","2 — العمليات","الملاحظات والتوصيات",300,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"ملاحظات المراجعة","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
92,Audit/iaf_charter.php,"ميثاق المراجعة الداخلية","ميثاق المراجعة الداخلية","Iaf Charter",—,"تعرض ميثاق المراجعة الداخلية: غرضَها وصلاحياتها ومسؤولياتها وموقعها التنظيمي. الغرض تثبيت الأساس الذي تستمدّ منه المراجعة استقلالها وسلطتها. يستخدمها المراجع الداخلي والجهة المشرفة","المراجع الداخلي المستقل","2 — العمليات","الميثاق والخطة",100,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"ميثاق المراجعة الداخلية","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
93,Audit/iaf_independence.php,"إقرارات الاستقلال وتعارض المصالح","سجل الاستقلال وتعارض المصالح","Iaf Independence","إقرارات الاستقلال وتعارض المصالح","تحفظ إقرارات الاستقلال وتعارض المصالح لأعضاء فريق المراجعة. الغرض حماية استقلال المراجعة بإقرارٍ دوريٍّ موثَّق. يستخدمها المراجع الداخلي.","المراجع الداخلي المستقل","2 — العمليات","الميثاق والخطة",101,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"إقرارات الاستقلال وتعارض المصالح","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
94,Audit/iaf_universe.php,"الكون الرقابي","سجل الكون الرقابي","Iaf Universe","الكون الرقابي","تعرض الكون الرقابي: كلَّ الوحدات والعمليات القابلة للمراجعة بمخاطرها وأولوياتها. الغرض ألّا تُبنى خطة المراجعة على اجتهادٍ بل على جردٍ كاملٍ لما يمكن مراجعته. يستخدمها المراجع الدا","المراجع الداخلي المستقل","2 — العمليات","الميثاق والخطة",110,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"الكون الرقابي","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
95,Audit/iaf_plan.php,"خطة المراجعة السنوية","الخطة السنوية للمراجعة","Iaf Plan","خطة المراجعة السنوية","تعرض خطة المراجعة السنوية: المهامُّ المزمعة وتوقيتها ومواردها مشتقّةً من الكون الرقابي. الغرض توزيع جهد المراجعة على الأعلى خطرًا لا على الأسهل. يستخدمها المراجع الداخلي.","المراجع الداخلي المستقل","2 — العمليات","الميثاق والخطة",111,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يُعاد تسميتُه + يُنقل إلى موضعِه المعياريّ",APPROVED,"دورةُ الإدارةِ المالكةِ في الحزمة",—,—,ACTIVE,—,"خطة المراجعة السنوية","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
96,Audit/iaf_escalations.php,"المصعَّد إلى الجهة المشرفة","المصعَّد إلى الجهة المشرفة","Iaf Escalations",—,"تعرض ما صُعِّد إلى الجهة المشرفة من ملاحظاتٍ لم تُعالَج أو خلافاتٍ لم تُحسم. الغرض ضمان وصول ما يستعصي إلى مستوى القرار الأعلى. يستخدمها المراجع الداخلي.","المراجع الداخلي المستقل","2 — العمليات","الميثاق والخطة والمهام",900,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يبقى كما هو",PENDING_OWNER,"مجلدُ المسارِ والتصنيفُ الوظيفيّ — يلزم تصديقٌ من الوثيقةِ المالكة",—,—,ACTIVE,—,"المصعَّد إلى الجهة المشرفة","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
97,Audit/iaf_action_plans.php,"خطط المعالجة ومتابعتها","خطط المعالجة ومتابعتها","Iaf Action Plans",—,"تعرض خطط معالجة الملاحظات ومتابعتها: الإجراءُ ومسؤولُه ومهلتُه وحالتُه. الغرض ألّا تبقى ملاحظةٌ بلا خطة معالجةٍ لها مالكٌ وموعد. يستخدمها المراجع والإدارات.","المراجع الداخلي المستقل","2 — العمليات","الملاحظات والتوصيات",350,"شاشةٌ مستقلة",1,"المراجع الداخلي المستقل","يبقى كما هو",APPROVED,"مطابقةٌ دلاليةٌ بمراحلِ دورةِ الإدارةِ المالكة",—,—,ACTIVE,—,"خطط المعالجة ومتابعتها","الميثاق والخطة والمهام","من التصييرِ الحيِّ — يملؤه المبرمجُ من uxui_live_positions.tsv","المراجع الداخلي المستقل"
